UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS_GOOD,TENIS_FAIR,TENIS_POOR,BSKTB_GOOD,BSKTB_FAIR,BSKTB_POOR,BASEB_GOOD,BASEB_FAIR,BASEB_POOR,Soccer_GOO,Soccer_FAI,Soccer_POO,MPFLD_GOOD,MPFLD_FAIR,MPFLD_POOR,FITZN_GOOD,FITZN_FAIR,FITZN_POOR,SK8PK_GOOD,SK8PK_FAIR,SK8PK_POOR,PCNIC_GOOD,PCNIC_FAIR,PCNIC_POOR,PLGND_GOOD,PLGND_FAIR,PLGND_POOR,POOLS_GOOD,POOLS_FAIR,POOLS_POOR,SPPAD_GOOD,SPPAD_FAIR,SPPAD_POOR,DGPRK_GOOD,DGPRK_FAIR,DGPRK_POOR,GYMNA_GOOD,GYMNA_FAIR,GYMNA_POOR,COMCT_GOOD,COMCT_FAIR,COMCT_POOR,SNRCT_GOOD,SNRCT_FAIR,SNRCT_POOR,RSTRM_GOOD,RSTRM_FAIR,RSTRM_POOR,CPAD_LAYER,LAT_DD,LON_DD,UnitID_2,TYPE,Shape_area,Shape_len
"20,608",Shiveley Park,Shiveley Park,Open Access,5.91,5.90981408,Valle Lindo Unified School District,Special District,School District,http://www.vallelindo.k12.ca.us/,"South El Monte, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Special District,34.04371056,-118.0483481,"20,608",Local Park,"257,430.4718","2,218.6859"
"6,802",Thompson Creek & Trail,Thompson Creek & Trail,Open Access,5.915,6.03746768,"Claremont, City of",City,City Agency,http://www.ci.claremont.ca.us/ps.leisurerecreation.cfm?ID=1709,"Claremont, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,34.12919669,-117.7204749,"6,802",Regional Open Space,"262,991.0401","8,547.173583"
"45,848",San Fernando Regional Pool & Community Center,San Fernando Reg. Pool & Community Ctr.,Restricted Access,5.918,5.91738358,"San Fernando, City of",City,City Agency,http://www.sfrcs.com/,"Los Angeles - Department of Recreation and Parks, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,City,34.28047964,-118.4331298,"45,848",Local Park,"257,760.1979","2,751.160885"
"46,366",Unnamed site - Mountains Recreation and Conservation Authority,,Unknown Access,5.923,5.92260488,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,34.47604648,-118.3821583,"46,366",Natural Areas,"257,987.6365","4,164.128649"
"4,829",Louise Park,Louise Park,Open Access,6.663,6.66298689,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,City,34.20035982,-118.508717,"4,829",Local Park,"290,238.548","2,229.999992"
"44,770",California State Lands Commission,SLC,Open Access,5.927,5.92661332,California State Lands Commission,State,State Agency,http://www.slc.ca.gov/,California State Lands Commission,Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other State,34.48227427,-118.1428985,"44,770",Natural Areas,"258,162.2434","3,254.741653"
"10,568",Runnymede Rec. Center,Runnymede Rec. Ctr.,Open Access,5.93,5.92945401,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,City,34.20470125,-118.5730096,"10,568",Local Park,"258,285.9835","2,270.66738"
"6,086",Anderson Park,Anderson Park,Open Access,5.933,5.93313725,"Redondo Beach, City of",City,City Agency,http://www.redondo.org,"Redondo Beach, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Fair,None,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,City,33.88323251,-118.3713493,"6,086",Local Park,"258,446.4249","2,261.481501"
"15,526",Chase Park,Chase Park,Open Access,5.964,5.96342997,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Neighborhood Park,Park 5 to 100 Acres,true,true,true,Fair,Present - Poor,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,34.22363902,-118.6178733,"15,526",Local Park,"259,765.9704","2,071.929643"
"6,337",Santa Monica State Beach,Santa Monica SB,Open Access,5.97,5.97050341,California Department of Parks and Recreation,State,State Agency,http://www.parks.ca.gov/,"Santa Monica, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California Department of Parks and Recreation,34.0156193,-118.5013159,"6,337",Natural Areas,"260,074.0882","6,170.660175"
